time,app_id,review,playtime,voted_up
2010-11-30,70,20,1214.8947368421052,1.0
2010-11-30,240,139,50557.539568345324,1.0
2010-11-30,420,19,826.6666666666666,1.0
2010-11-30,4000,219,66743.87671232877,0.9954337899543378
2010-11-30,8930,28,13162.214285714286,1.0
2010-11-30,35140,37,1484.0285714285715,1.0
2010-11-30,48700,93,24398.870967741936,1.0
2010-12-31,70,74,5868.338235294118,1.0
2010-12-31,240,349,47821.74571428572,0.9886039886039886
2010-12-31,420,46,1064.871794871795,0.9782608695652174
2010-12-31,4000,359,63093.467966573815,0.9832869080779945
2010-12-31,8930,213,15471.079812206573,0.9906103286384976
2010-12-31,35140,78,1285.76,1.0
2010-12-31,40800,450,1372.4966740576497,0.9933481152993349
2010-12-31,48700,246,21911.097959183673,1.0
2011-01-31,70,48,2880.190476190476,1.0
2011-01-31,240,206,55793.98058252427,1.0
2011-01-31,420,21,802.75,1.0
2011-01-31,4000,187,61087.42780748663,0.9893048128342246
2011-01-31,8930,61,25819.868852459018,0.9344262295081968
2011-01-31,35140,49,1439.9375,1.0
2011-01-31,40800,148,1566.9594594594594,1.0
2011-01-31,48700,104,23824.53846153846,1.0
2011-02-28,70,30,5051.304347826087,1.0
2011-02-28,240,159,48022.03821656051,0.9874213836477987
2011-02-28,420,52,2000.7441860465117,1.0
2011-02-28,4000,126,66651.60317460318,0.9841269841269841
2011-02-28,8930,64,13817.859375,0.984375
2011-02-28,35140,52,1429.6666666666667,1.0
2011-02-28,40800,47,1706.7021276595744,1.0
2011-02-28,48700,47,22844.297872340427,1.0
2011-03-31,70,25,3168.304347826087,1.0
2011-03-31,240,163,50641.20858895705,0.9878048780487805
2011-03-31,420,14,755.2857142857143,1.0
2011-03-31,4000,149,79921.58389261745,0.9731543624161074
2011-03-31,8930,67,29057.611940298506,0.9850746268656716
2011-03-31,35140,61,1421.0338983050847,0.9836065573770492
2011-03-31,40800,53,1740.867924528302,1.0
2011-03-31,48700,58,28360.137931034482,1.0
2011-04-30,70,24,1139.4761904761904,1.0
2011-04-30,240,137,50038.00729927007,0.9927007299270073
2011-04-30,420,17,585.1818181818181,0.9411764705882353
2011-04-30,620,1189,2404.294612794613,0.9974768713204374
2011-04-30,4000,152,58090.450980392154,0.954248366013072
2011-04-30,8930,57,19974.491228070176,0.9824561403508771
2011-04-30,35140,43,1444.6190476190477,1.0
2011-04-30,40800,138,1049.3623188405797,0.9782608695652174
2011-04-30,48700,54,28750.01851851852,1.0
2011-05-31,70,23,12329.857142857143,1.0
2011-05-31,240,135,43171.76865671642,0.9925925925925926
