appid,genre
341000,simulation
341800,co_op
341940,action
342180,action
344760,survival
346010,sandbox
346110,survival
346120,action
346900,casual
347620,casual
349040,action
351640,rpg
351920,simulation
351970,rpg
352520,adventure
353560,indie
354140,singleplayer
355180,multiplayer
355840,survival
356570,strategy
356670,first_person
359050,story_rich
359320,open_world
359870,story_rich
360170,survival
360740,indie
360940,action
361280,simulation
361420,open_world
361800,survival
362680,story_rich
362890,fps
362930,action
362960,rpg
363890,rpg
363970,casual
364360,strategy
365360,strategy
365450,simulation
365960,simulation
367450,simulation
367500,rpg
367520,difficult
368230,strategy
368340,rpg
368360,survival
368370,indie
369990,strategy
374040,adventure
375230,action
375950,simulation
376210,survival
377160,open_world
377840,great_soundtrack
378540,action
378610,adventure
378860,simulation
379430,open_world
379720,fps
380600,simulation
380840,multiplayer
381210,multiplayer
382310,survival
383080,singleplayer
383120,survival
383150,open_world
383870,adventure
383980,multiplayer
385760,multiplayer
385770,casual
385800,casual
386070,strategy
386180,action
386940,multiplayer
387290,atmospheric
387990,multiplayer
388090,singleplayer
388880,story_rich
389430,action
389730,action
391040,simulation
391460,fps
391540,great_soundtrack
391720,atmospheric
392110,strategy
392160,sandbox
393380,fps
393420,survival
394310,indie
394360,strategy
394690,casual
395170,indie
397060,strategy
397340,simulation
397950,action
398710,casual
398850,adventure
400910,great_soundtrack
402570,multiplayer
402710,survival
402840,casual
403190,strategy
403640,action
404410,open_world
405640,indie
406150,great_soundtrack
410110,action
411300,open_world
412830,story_rich
413150,rpg
413410,story_rich
413420,story_rich
414340,atmospheric
414700,first_person
415200,simulation
417860,story_rich
418030,survival
418240,strategy
418340,action
418460,fps
420110,story_rich
420290,multiplayer
420530,story_rich
421020,simulation
421040,casual
422970,fps
423230,great_soundtrack
423880,indie
424280,action
424370,rpg
424840,adventure
425580,adventure
426000,simulation
427290,rpg
427520,sandbox
428690,simulation
429050,simulation
430960,story_rich
431240,multiplayer
433340,adventure
433850,survival
433950,indie
434570,funny
434650,action
435400,casual
435530,survival
436150,casual
436520,fps
437920,indie
438740,multiplayer
439190,adventure
440900,survival
442080,rpg
443810,strategy
444640,multiplayer
445220,sandbox
445980,action
446800,simulation
447020,simulation
447530,great_soundtrack
447820,fps
448510,co_op
449540,funny
449960,singleplayer
451340,simulation
454650,action
457140,survival
459820,casual
460790,action
460930,open_world
462770,great_soundtrack
464060,action
464920,strategy
466170,indie
466240,multiplayer
466560,strategy
467960,adventure
471710,multiplayer
473690,action
474750,indie
474960,action
475150,rpg
475550,indie
477160,funny
480490,sci_fi
481510,story_rich
486310,open_world
489520,strategy
489830,open_world
489940,fps
492720,strategy
493340,simulation
493900,strategy
495890,casual
496300,strategy
498240,story_rich
499440,indie
501300,story_rich
503560,simulation
503940,strategy
504230,difficult
504370,multiplayer
505460,strategy
506610,singleplayer
508440,simulation
512900,rpg
513710,survival
516750,simulation
519190,survival
519860,fps
527230,rpg
527430,rpg
529180,open_world
530330,adventure
530700,shooter
531640,strategy
532210,story_rich
533300,casual
535230,strategy
535930,simulation
537180,adventure
537800,simulation
544920,survival
548430,co_op
550650,fps
551170,strategy
552100,sandbox
552500,co_op
552990,multiplayer
553640,action
554620,story_rich
555160,action
555220,atmospheric
555570,survival
557600,adventure
558100,strategy
560130,rpg
560380,rpg
562220,indie
564710,rpg
567640,story_rich
569480,strategy
571740,multiplayer
572410,strategy
573090,sandbox
575640,casual
577800,multiplayer
578080,survival
578620,action
581320,fps
581630,action
582500,co_op
582660,open_world
583950,strategy
584400,great_soundtrack
584980,story_rich
585420,sandbox
588650,action
589290,multiplayer
590380,strategy
594570,strategy
597170,action
599140,sandbox
601150,action
601430,action
602520,first_person
606280,action
609320,adventure
611500,fps
611790,simulation
612880,action
613100,simulation
616560,simulation
620980,indie
621060,simulation
624090,simulation
626690,rpg
632360,multiplayer
635260,simulation
635730,shooter
636480,fps
637090,strategy
637650,rpg
638970,action
639790,great_soundtrack
640820,rpg
641990,strategy
643270,great_soundtrack
644560,rpg
644570,rpg
644930,strategy
645630,simulation
646570,strategy
648350,simulation
648800,survival
653530,atmospheric
657200,simulation
663090,rpg
665300,funny
665360,multiplayer
666140,open_world
668630,casual
673950,simulation
674020,fps
674940,multiplayer
675010,simulation
678950,action
681660,open_world
683320,atmospheric
690790,simulation
690830,strategy
707010,survival
714010,action
719890,simulation
728880,multiplayer
732430,indie
736220,fps
737800,simulation
738060,singleplayer
750920,adventure
755790,shooter
760060,strategy
761890,rpg
784150,strategy
787860,simulation
794260,rpg
800270,strategy
805550,simulation
813820,multiplayer
815370,survival
823130,multiplayer
834910,survival
841370,simulation
843380,indie
848450,survival
851100,2d
858810,strategy
871720,difficult
905370,action
942970,indie
960090,strategy
977950,indie
