,Rank,Game,Month,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,appid,name,release_date,english,developer,publisher,platforms,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
991,136,disco elysium,10,2019,441111,4514 hours,25405,46,839,593,6,97.72,,,,,,,,,,,,,,,
992,138,trine 4 the nightmare prince,10,2019,436433,6253 hours,21468,83,1173,587,8,69.8,,,,,,,,,,,,,,,
993,141,ai the somnium files,10,2019,424053,5248 hours,12582,31,424,570,7,80.8,,,,,,,,,,,,,,,
994,145,blair witch,10,2019,415088,14510 hours,28785,142,4498,558,19,28.61,,,,,,,,,,,,,,,
995,152,children of morta,10,2019,399989,3469 hours,25610,23,694,538,4,115.3,,,,,,,,,,,,,,,
996,156,the dark pictures anthology man of medan,10,2019,393272,12771 hours,24701,115,3584,529,17,30.79,,,,,,,,,,,,,,,
997,157,blasphemous,10,2019,391846,7467 hours,15342,33,1493,527,10,52.48,,,,,,,,,,,,,,,
998,169,phoenix wright ace attorney trilogy,10,2019,357314,3271 hours,10410,22,436,480,4,109.24,,,,,,,,,,,,,,,
999,170,mistover,10,2019,356455,7075 hours,6282,68,865,479,9,50.38,,,,,,,,,,,,,,,
1000,177,chernobylite,10,2019,337379,3502 hours,26398,102,1304,454,4,96.34,,,,,,,,,,,,,,,
1001,179,secret neighbor,10,2019,332347,5012 hours,27344,76,1705,447,6,66.31,,,,,,,,,,,,,,,
1002,183,dauntless,10,2019,318682,37288 hours,13362,133,5820,428,50,8.55,,,,,,,,,,,,,,,
1003,185,dragon quest 4,10,2019,316267,16192 hours,6382,52,1215,425,21,19.53,,,,,,,,,,,,,,,
1006,193,medievil,10,2019,303729,11215 hours,8934,209,2328,408,15,27.08,,,,,,,,,,,,,,,
1007,196,ancestors the humankind odyssey,10,2019,300413,4082 hours,24621,17,681,404,5,73.59,,,,,,,,,,,,,,,
1009,198,poku00e9mon stadium 2,10,2019,297873,1337 hours,3036,18,134,400,1,222.79,,,,,,,,,,,,,,,
1010,199,wwe 2k20,10,2019,296891,10979 hours,18023,141,1575,399,14,27.04,,,,,,,,,,,,,,,
1011,66,the outer worlds,11,2019,1325358,132086 hours,14033,747,21349,1843,183,10.03,,,,,,,,,,,,,,,
1012,81,shenmue 3,11,2019,955001,12325 hours,25263,131,1405,1328,17,77.48,,,,,,,,,,,,,,,
1013,89,diablo 4,11,2019,819419,1620 hours,47472,21,245,1139,2,505.81,,,,,,,,,,,,,,,
1014,95,ratropolis,11,2019,748399,6142 hours,19053,46,850,1040,8,121.85,,,,,,,,,,,,,,,
1015,100,internet cafe simulator,11,2019,702992,4627 hours,35892,55,1454,977,6,151.93,,,,,,,,,,,,,,,
1016,112,superliminal,11,2019,611776,2612 hours,66435,30,1009,850,3,234.22,,,,,,,,,,,,,,,
1019,121,ring fit adventure,11,2019,524888,5062 hours,16896,27,954,730,7,103.69,,,,,,,,,,,,,,,
1020,122,the legend of bumbo,11,2019,524524,8462 hours,18131,248,1789,729,11,61.99,,,,,,,,,,,,,,,
1021,127,always on,11,2019,454066,3535 hours,1272,6,10,631,4,128.45,,,,,,,,,,,,,,,
1022,141,otakus adventure,11,2019,403777,858 hours,22487,26,187,561,1,470.6,,,,,,,,,,,,,,,
1023,151,the beast inside,11,2019,363851,8064 hours,17353,146,1718,506,11,45.12,,,,,,,,,,,,,,,
1024,153,poku00e9mon lets go pikachu,11,2019,355908,19486 hours,6057,106,2671,495,27,18.26,,,,,,,,,,,,,,,
1027,170,we were here together,11,2019,301553,5085 hours,29369,35,1162,419,7,59.3,,,,,,,,,,,,,,,
1028,173,mario sonic at the olympic games tokyo 2020,11,2019,297310,1654 hours,26435,26,432,413,2,179.75,,,,,,,,,,,,,,,
1029,175,just dance 2020,11,2019,293112,4185 hours,13054,39,830,407,5,70.04,,,,,,,,,,,,,,,
1030,178,code vein,11,2019,286287,27179 hours,23087,90,4118,398,37,10.53,,,,,,,,,,,,,,,
1032,192,microsoft flight simulator 10,11,2019,250804,14803 hours,1671,55,1031,348,20,16.94,,,,,,,,,,,,,,,
1034,194,metro sim hustle,11,2019,249521,44 hours,77676,4,20,347,0,5670.93,,,,,,,,,,,,,,,
1036,196,jikkyou powerful pro yakyuu 2018,11,2019,238670,196 hours,4643,3,21,331,0,1217.7,,,,,,,,,,,,,,,
1037,197,untitled goose game,11,2019,234923,3975 hours,14633,40,1618,326,5,59.1,,,,,,,,,,,,,,,
1038,198,heave ho,11,2019,234421,824 hours,35284,11,339,326,1,284.49,,,,,,,,,,,,,,,
1041,68,phoenix point,12,2019,1462113,19327 hours,37599,158,1720,1967,26,75.65,,,,,,,,,,,,,,,
1042,89,fifa online 4,12,2019,934434,3546 hours,60597,19,641,1257,4,263.52,,,,,,,,,,,,,,,
1043,97,planet zoo,12,2019,766707,25623 hours,16878,113,3655,1031,34,29.92,,,,,,,,,,,,,,,
1044,100,transport fever 2,12,2019,739280,16594 hours,26412,150,1680,994,22,44.55,,,,,,,,,,,,,,,
1046,118,darksiders genesis,12,2019,634741,15600 hours,25443,265,2514,854,20,40.69,,,,,,,,,,,,,,,
1047,124,mechwarrior 5 mercenaries,12,2019,588950,17977 hours,19401,162,1726,792,24,32.76,,,,,,,,,,,,,,,
1048,134,halo reach,12,2019,552985,46693 hours,18709,1026,12778,744,62,11.84,,,,,,,,,,,,,,,
1049,145,last year,12,2019,458011,10052 hours,33924,90,1672,616,13,45.56,,,,,,,,,,,,,,,
1050,151,need for speed heat,12,2019,413221,36089 hours,7267,161,6118,556,48,11.45,,,,,,,,,,,,,,,
1051,154,ea sports ufc 3,12,2019,404111,5272 hours,28447,29,2624,543,7,76.65,,,,,,,,,,,,,,,
1055,167,boneworks,12,2019,361796,13695 hours,22796,285,3444,486,18,26.42,,,,,,,,,,,,,,,
1056,173,luigis mansion 3,12,2019,330079,11969 hours,9090,45,1897,444,16,27.58,,,,,,,,,,,,,,,
1057,178,resident evil 3 nemesis,12,2019,319825,4793 hours,11698,26,813,430,6,66.73,,,,,,,,,,,,,,,
1058,179,monster rancher 2,12,2019,316595,186 hours,19189,4,21,426,0,1702.12,,,,,,,,,,,,,,,
1060,185,kingdom under fire 2,12,2019,302694,4100 hours,16205,25,382,407,5,73.83,,,,,,,,,,,,,,,
1062,189,board games,12,2019,292767,2728 hours,18505,18,490,394,3,107.32,,,,,,,,,,,,,,,
1063,191,twitch plays,12,2019,291124,13578 hours,14399,26,169,391,18,21.44,,,,,,,,,,,,,,,
1067,95,super metroid,1,2020,995983,8103 hours,232309,50,741,1340,10,122.92,,,,,,,,,,,,,,,
1071,130,poku00e9mon xy,1,2020,654702,933 hours,157620,10,201,881,1,701.72,,,,,,,,,,,,,,,
1072,132,grand theft auto 4,1,2020,630461,4127 hours,26228,17,768,848,5,152.76,,,,,,,,,,,,,,,
1073,134,kingdom hearts 3,1,2020,623830,37158 hours,7260,468,4336,839,50,16.79,,,,,,,,,,,,,,,
1074,149,fallout,1,2020,547171,781 hours,181041,10,162,736,1,700.6,,,,,,,,,,,,,,,
1076,151,the legend of zelda,1,2020,535382,2389 hours,162264,22,308,720,3,224.1,,,,,,,,,,,,,,,
1078,157,the legend of zelda skyward sword,1,2020,502656,2546 hours,167335,19,192,676,3,197.43,,,,,,,,,,,,,,,
1081,167,the legend of zelda links awakening,1,2020,430165,5954 hours,235605,29,946,578,8,72.25,,,,,,,,,,,,,,,
1082,169,donkey kong country 3 dixie kongs double trouble,1,2020,420597,743 hours,144511,8,133,566,1,566.08,,,,,,,,,,,,,,,
1084,171,romance of the three kingdoms14,1,2020,415378,2713 hours,9236,30,157,559,3,153.11,,,,,,,,,,,,,,,
1085,177,poku00e9mon rubysapphire,1,2020,393510,1498 hours,169805,16,237,529,2,262.69,,,,,,,,,,,,,,,
1086,180,super mario bros 3,1,2020,384028,2218 hours,181735,21,448,516,2,173.14,,,,,,,,,,,,,,,
1088,186,barbie and the magic of pegasus,1,2020,374932,224 hours,33560,8,77,504,0,1673.8,,,,,,,,,,,,,,,
1090,191,total war three kingdoms,1,2020,368287,6615 hours,8646,38,658,495,8,55.67,,,,,,,,,,,,,,,
1092,195,mario luigi superstar saga,1,2020,358689,260 hours,116350,11,55,482,0,1379.57,,,,,,,,,,,,,,,
1093,196,fire emblem three houses,1,2020,356950,12720 hours,131393,51,1327,480,17,28.06,,,,,,,,,,,,,,,
1095,198,control,1,2020,352953,9987 hours,155664,42,1886,475,13,35.34,,,,,,,,,,,,,,,
1096,200,some some convenience store,1,2020,342876,4683 hours,9903,63,800,461,6,73.22,,,,,,,,,,,,,,,
1097,69,stoneshard,2,2020,1332969,18681 hours,30833,120,3108,1917,26,71.35,,,,,,,,,,,,,,,
1098,71,temtem,2,2020,1228948,71085 hours,12324,389,10030,1768,102,17.29,,,,,,,,,,,,,,,
1099,80,dragon ball z kakarot,2,2020,1055787,81001 hours,15438,407,11893,1519,116,13.03,,,,,,,,,,,,,,,
1102,106,dreams,2,2020,761420,15707 hours,43582,95,2835,1095,22,48.48,,,,,,,,,,,,,,,
1103,107,trackmania 2 stadium,2,2020,760213,5746 hours,29774,50,876,1093,8,132.3,,,,,,,,,,,,,,,
1104,120,metro exodus,2,2020,662254,28541 hours,27136,202,4727,952,41,23.2,,,,,,,,,,,,,,,
1106,124,zombie army 4 dead war,2,2020,612082,16364 hours,27709,130,2297,880,23,37.4,,,,,,,,,,,,,,,
1107,130,twitch presents,2,2020,594710,265 hours,24107,7,6,855,0,2244.19,,,,,,,,,,,,,,,
1109,143,monster hunter world iceborne,2,2020,525508,91298 hours,4983,343,13491,756,131,5.76,,,,,,,,,,,,,,,
1110,144,arknights,2,2020,519577,17682 hours,6282,118,1661,747,25,29.38,,,,,,,,,,,,,,,
1111,145,the walking dead saints sinners,2,2020,515711,6693 hours,16314,41,1700,742,9,77.05,,,,,,,,,,,,,,,
1112,147,yakuza,2,2020,512330,6864 hours,8727,43,351,737,9,74.64,,,,,,,,,,,,,,,
1114,151,battlefield 5,2,2020,494211,52729 hours,40161,185,10483,711,75,9.37,,,,,,,,,,,,,,,
1116,168,auto chess,2,2020,430368,7051 hours,12837,26,559,619,10,61.04,,,,,,,,,,,,,,,
1117,170,gtfo,2,2020,423278,12573 hours,29885,74,3218,609,18,33.67,,,,,,,,,,,,,,,
1118,177,dreadout 2,2,2020,399008,1179 hours,31528,23,282,574,1,338.43,,,,,,,,,,,,,,,
1120,182,vintage story,2,2020,384564,1261 hours,25729,21,140,553,1,304.97,,,,,,,,,,,,,,,
1121,183,the legend of zelda the wind waker,2,2020,383339,4214 hours,3376,18,566,551,6,90.97,,,,,,,,,,,,,,,
1122,184,the suicide of rachel foster,2,2020,378256,3354 hours,25762,69,922,544,4,112.78,,,,,,,,,,,,,,,
1123,187,xcom 2 war of the chosen,2,2020,367766,6329 hours,6306,22,569,529,9,58.11,,,,,,,,,,,,,,,
1124,191,the pedestrian,2,2020,359607,1245 hours,25157,13,466,517,1,288.84,,,,,,,,,,,,,,,
1126,197,journey to the savage planet,2,2020,343540,10366 hours,25405,98,2173,494,14,33.14,,,,,,,,,,,,,,,
1128,67,twitch stream aid,3,2020,1667571,1282 hours,168180,92,336,2244,1,1300.76,,,,,,,,,,,,,,,
1129,69,stilt fella,3,2020,1632057,3037 hours,63244,19,776,2196,4,537.39,,,,,,,,,,,,,,,
1131,102,poku00e9mon mystery dungeon rescue team dx,3,2020,988580,39231 hours,16927,420,4416,1330,52,25.2,,,,,,,,,,,,,,,
1134,135,efootball pes 2020,3,2020,714366,24876 hours,18115,96,3770,961,33,28.72,,,,,,,,,,,,,,,
1137,152,yes your grace,3,2020,583076,3703 hours,37177,38,795,784,4,157.46,,,,,,,,,,,,,,,
1140,161,total lockdown,3,2020,531250,1157 hours,43182,48,216,715,1,459.16,,,,,,,,,,,,,,,
1141,171,dota underlords,3,2020,484057,17501 hours,10135,56,2372,651,23,27.66,,,,,,,,,,,,,,,
1143,179,anno 1800,3,2020,454124,14830 hours,20889,162,1955,611,19,30.62,,,,,,,,,,,,,,,
1145,65,drug dealer simulator,4,2020,2159568,29373 hours,60804,188,4863,3003,40,73.52,,,,,,,,,,,,,,,
1146,85,xcom chimera squad,4,2020,1501750,25568 hours,41604,476,3218,2088,35,58.74,,,,,,,,,,,,,,,
1147,89,deadside,4,2020,1382600,62758 hours,34454,433,6331,1922,87,22.03,,,,,,,,,,,,,,,
1149,136,predator hunting grounds,4,2020,768207,33595 hours,38593,564,4960,1068,46,22.87,,,,,,,,,,,,,,,
1151,161,resident evil resistance,4,2020,592809,16808 hours,20302,81,2168,824,23,35.27,,,,,,,,,,,,,,,
1153,171,mugen,4,2020,562888,3366 hours,3476,9,111,782,4,167.23,,,,,,,,,,,,,,,
1154,180,peggle 2,4,2020,544406,943 hours,19949,9,213,757,1,577.31,,,,,,,,,,,,,,,
1155,185,world war z,4,2020,515611,105727 hours,9061,764,21510,717,147,4.88,,,,,,,,,,,,,,,
1156,186,griftlands,4,2020,510792,1767 hours,22684,18,177,710,2,289.07,,,,,,,,,,,,,,,
1157,189,halflife alyx,4,2020,491862,27024 hours,23027,160,5320,684,37,18.2,,,,,,,,,,,,,,,
1158,191,ori and the will of the wisps,4,2020,482683,39712 hours,34927,150,5660,671,55,12.15,,,,,,,,,,,,,,,
1159,192,state of decay 2,4,2020,473014,20298 hours,10855,61,2452,657,28,23.3,,,,,,,,,,,,,,,
1161,200,fifa 17,4,2020,446780,5129 hours,3303,14,252,621,7,87.11,,,,,,,,,,,,,,,
1163,66,maneater,5,2020,2414797,49778 hours,111724,774,7754,3250,66,48.51,,,,,,,,,,,,,,,
1164,69,crucible,5,2020,2351433,62992 hours,122695,1371,13344,3164,84,37.33,,,,,,,,,,,,,,,
1166,112,gears tactics,5,2020,1247066,29411 hours,29441,183,3210,1678,39,42.4,,,,,,,,,,,,,,,
1167,114,last oasis,5,2020,1180995,44382 hours,8458,154,2059,1589,59,26.61,,,,,,,,,,,,,,,
1169,130,trials of mana,5,2020,1044061,37291 hours,32254,169,2734,1405,50,28.0,,,,,,,,,,,,,,,
1170,131,resident evil 3,5,2020,1026093,47215 hours,12265,161,7102,1381,63,21.73,,,,,,,,,,,,,,,
1172,146,streets of rage 4,5,2020,904921,57127 hours,33308,709,10170,1217,76,15.84,,,,,,,,,,,,,,,
1176,181,warface breakout,5,2020,646929,9487 hours,52685,193,1699,870,12,68.19,,,,,,,,,,,,,,,
1178,185,the jackbox party pack 6,5,2020,604798,35031 hours,34752,279,8782,813,47,17.26,,,,,,,,,,,,,,,
1182,199,granblue fantasy versus,5,2020,531656,15005 hours,8273,62,1941,715,20,35.43,,,,,,,,,,,,,,,
1183,64,f1 2019,6,2020,2253944,42858 hours,106783,260,8466,3134,59,52.59,,,,,,,,,,,,,,,
1184,72,minecraft dungeons,6,2020,2085908,212968 hours,33762,1460,36229,2901,296,9.79,,,,,,,,,,,,,,,
1185,79,monster train,6,2020,1925453,22868 hours,13524,112,2390,2677,31,84.2,,,,,,,,,,,,,,,
1186,81,poly bridge 2,6,2020,1869276,11014 hours,58914,54,2344,2599,15,169.72,,,,,,,,,,,,,,,
1187,104,ncaa football 14,6,2020,1177094,4878 hours,141739,28,277,1637,6,241.31,,,,,,,,,,,,,,,
1188,106,command conquer collection,6,2020,1159268,34494 hours,36957,1006,4635,1612,47,33.61,,,,,,,,,,,,,,,
1189,118,phantasy star online 2,6,2020,1018930,87987 hours,12326,414,6708,1417,122,11.58,,,,,,,,,,,,,,,
1190,126,desperados 3,6,2020,900772,14561 hours,23242,210,1862,1252,20,61.86,,,,,,,,,,,,,,,
1191,159,xenoblade chronicles,6,2020,653284,55856 hours,9083,239,3026,908,77,11.7,,,,,,,,,,,,,,,
1196,199,barn finders,6,2020,480523,5631 hours,34790,85,934,668,7,85.34,,,,,,,,,,,,,,,
1197,200,shadow arena,6,2020,480029,7033 hours,21156,26,742,667,9,68.25,,,,,,,,,,,,,,,
1198,65,ebaseball powerful pro yakyu016b 2020,7,2020,2714108,8519 hours,23142,53,459,3652,11,318.59,,,,,,,,,,,,,,,
1201,118,carrion,7,2020,1147402,20797 hours,62570,350,4965,1544,27,55.17,,,,,,,,,,,,,,,
1202,123,destroy all humans,7,2020,1103461,23974 hours,91539,642,5565,1485,32,46.03,,,,,,,,,,,,,,,
1204,140,neon abyss,7,2020,896701,27378 hours,15236,198,4420,1206,36,32.75,,,,,,,,,,,,,,,
1206,157,persona 4 golden,7,2020,762984,60013 hours,10018,176,4343,1026,80,12.71,,,,,,,,,,,,,,,
1207,162,gunfire reborn,7,2020,716941,28386 hours,15382,89,4314,964,38,25.26,,,,,,,,,,,,,,,
1208,163,summer game fest,7,2020,716674,878 hours,415333,377,442,964,1,816.26,,,,,,,,,,,,,,,
1209,164,rocket arena,7,2020,716414,18463 hours,147718,192,3323,964,24,38.8,,,,,,,,,,,,,,,
1210,168,nier automata,7,2020,699565,14509 hours,28614,40,2407,941,19,48.22,,,,,,,,,,,,,,,
1211,177,poku00e9mon emerald,7,2020,628374,12582 hours,20847,44,1814,845,16,49.94,,,,,,,,,,,,,,,
1212,182,yakuza 5,7,2020,597611,2156 hours,14254,12,153,804,2,277.19,,,,,,,,,,,,,,,
1213,185,spongebob squarepants battle for bikini bottom rehydrated,7,2020,578983,26575 hours,33077,191,6542,779,35,21.79,,,,,,,,,,,,,,,
1214,186,king of crabs,7,2020,573802,3209 hours,68536,23,1231,772,4,178.81,,,,,,,,,,,,,,,
1216,194,sword art online alicization lycoris,7,2020,544778,32811 hours,14039,233,3560,733,44,16.6,,,,,,,,,,,,,,,
1217,195,mobile legends bang bang,7,2020,541236,33625 hours,106209,75,2375,728,45,16.1,,,,,,,,,,,,,,,
1218,196,persona 5 royal,7,2020,540891,37132 hours,3551,119,2330,727,49,14.57,,,,,,,,,,,,,,,
1219,198,ragnarok online,7,2020,524443,31355 hours,2884,77,1373,705,42,16.73,,,,,,,,,,,,,,,
1220,200,kingdom of the winds,7,2020,523740,5109 hours,19219,39,315,704,6,102.51,,,,,,,,,,,,,,,
1221,52,mortal shell,8,2020,3911517,67617 hours,138779,872,9007,5264,91,57.85,,,,,,,,,,,,,,,
1222,63,scrutinized,8,2020,2813543,10111 hours,86338,59,1903,3786,13,278.27,,,,,,,,,,,,,,,
1223,72,ea sports ufc 4,8,2020,2253610,23368 hours,67130,191,5400,3033,31,96.44,,,,,,,,,,,,,,,
1224,84,remnant from the ashes,8,2020,1855656,205711 hours,52768,976,27987,2497,276,9.02,,,,,,,,,,,,,,,
1225,111,spiritfarer,8,2020,1172797,22997 hours,39948,145,3824,1578,30,51.0,,,,,,,,,,,,,,,
1226,116,undermine,8,2020,1094145,18332 hours,48576,77,2517,1472,24,59.68,,,,,,,,,,,,,,,
1227,117,paper mario the origami king,8,2020,1093993,38906 hours,13259,209,4017,1472,52,28.12,,,,,,,,,,,,,,,
1228,123,a total war saga troy,8,2020,1019391,23357 hours,54218,415,3543,1371,31,43.64,,,,,,,,,,,,,,,
1229,129,hellpoint,8,2020,973262,20878 hours,46559,133,2475,1309,28,46.62,,,,,,,,,,,,,,,
1231,154,there is no game wrong dimension,8,2020,781567,3347 hours,40697,28,778,1051,4,233.51,,,,,,,,,,,,,,,
1232,157,final fantasy vii remake,8,2020,728497,45514 hours,83031,116,4175,980,61,16.01,,,,,,,,,,,,,,,
1233,166,nhl 20,8,2020,687199,21562 hours,42208,105,5572,924,29,31.87,,,,,,,,,,,,,,,
1234,170,madden nfl 20,8,2020,669908,138319 hours,28360,693,18852,901,186,4.84,,,,,,,,,,,,,,,
1235,175,death stranding,8,2020,616310,49301 hours,18318,194,4561,829,66,12.5,,,,,,,,,,,,,,,
1237,186,the last of us,8,2020,570870,34631 hours,87300,105,1952,768,46,16.48,,,,,,,,,,,,,,,
1239,194,fategrand order,8,2020,522629,18947 hours,12064,103,1680,703,25,27.58,,,,,,,,,,,,,,,
1240,195,europa universalis 4,8,2020,518345,13757 hours,5298,47,924,697,18,37.68,,,,,,,,,,,,,,,
1241,198,the seven deadly sins grand cross,8,2020,497988,17182 hours,3760,61,1064,670,23,28.98,,,,,,,,,,,,,,,
1243,30,marvels avengers,9,2020,7179349,402903 hours,200219,2451,34343,9985,560,17.82,,,,,,,,,,,,,,,
1244,50,tony hawks pro skater 12,9,2020,4289585,92676 hours,130743,1122,23818,5966,128,46.29,,,,,,,,,,,,,,,
1245,70,super mario 3d allstars,9,2020,2365224,81457 hours,45152,1571,14467,3289,113,29.04,,,,,,,,,,,,,,,
1247,91,cricket,9,2020,1517547,1258 hours,187320,36,603,2110,1,1206.32,,,,,,,,,,,,,,,
1248,93,new world,9,2020,1501902,39411 hours,56104,871,5610,2088,54,38.11,,,,,,,,,,,,,,,
1249,105,streamer life simulator,9,2020,1263839,8390 hours,82806,42,2128,1757,11,150.64,,,,,,,,,,,,,,,
1250,106,heroes of might and magic iii the shadow of death,9,2020,1246055,9256 hours,11990,41,460,1733,12,134.62,,,,,,,,,,,,,,,
1251,108,lineage ii the chaotic throne the 1st throne the kamael,9,2020,1239481,55296 hours,10142,159,1694,1723,76,22.42,,,,,,,,,,,,,,,
1253,112,night of the dead,9,2020,1207949,26307 hours,26944,130,2660,1680,36,45.92,,,,,,,,,,,,,,,
1254,120,horizon zero dawn,9,2020,1065842,73088 hours,28207,228,7423,1482,101,14.58,,,,,,,,,,,,,,,
1255,127,wasteland 3,9,2020,986946,44986 hours,48925,234,3900,1372,62,21.94,,,,,,,,,,,,,,,
1256,130,football manager 2020,9,2020,929656,34294 hours,13942,131,3313,1292,47,27.11,,,,,,,,,,,,,,,
1259,146,pga tour 2k21,9,2020,764256,43806 hours,19964,274,5633,1062,60,17.45,,,,,,,,,,,,,,,
1260,149,diabotical,9,2020,757198,31931 hours,31703,172,3929,1053,44,23.71,,,,,,,,,,,,,,,
1261,153,nba 2k20,9,2020,742755,133054 hours,11841,1079,18054,1033,185,5.58,,,,,,,,,,,,,,,
1262,156,craftopia,9,2020,728696,41239 hours,29912,416,6014,1013,57,17.67,,,,,,,,,,,,,,,
1263,162,bpm bullets per minute,9,2020,708614,13026 hours,68600,150,3276,985,18,54.4,,,,,,,,,,,,,,,
1264,167,diablo ii lord of destruction,9,2020,674327,18762 hours,5999,60,1131,937,26,35.94,,,,,,,,,,,,,,,
1265,168,captain tsubasa rise of new champions,9,2020,658249,18378 hours,61513,131,2648,915,25,35.82,,,,,,,,,,,,,,,
1266,171,hyper scape,9,2020,639197,60572 hours,11721,225,8722,889,84,10.55,,,,,,,,,,,,,,,
1267,173,saint seiya awakening,9,2020,635709,10147 hours,8097,65,636,884,14,62.65,,,,,,,,,,,,,,,
1268,174,agrou,9,2020,634832,2190 hours,31575,34,516,882,3,289.88,,,,,,,,,,,,,,,
1269,175,tell me why,9,2020,628808,41836 hours,40479,366,6499,874,58,15.03,,,,,,,,,,,,,,,
1270,181,surgeon simulator 2,9,2020,603659,2828 hours,48957,31,1024,839,3,213.46,,,,,,,,,,,,,,,
1272,186,serious sam 4,9,2020,580536,12029 hours,52457,336,2061,807,16,48.26,,,,,,,,,,,,,,,
1274,188,the long drive,9,2020,566608,1990 hours,53973,14,394,788,2,284.73,,,,,,,,,,,,,,,
1275,189,last day on earth survival,9,2020,545327,5501 hours,111059,25,335,758,7,99.13,,,,,,,,,,,,,,,
1276,194,grounded,9,2020,537118,35463 hours,25342,169,6648,747,49,15.15,,,,,,,,,,,,,,,
1277,195,the last of us part 2,9,2020,536782,37757 hours,4036,135,6833,746,52,14.22,,,,,,,,,,,,,,,
1278,196,pro gymnast,9,2020,534813,432 hours,53484,6,160,743,0,1237.99,,,,,,,,,,,,,,,
1279,36,baldurs gate 3,10,2020,5952175,127224 hours,188863,1489,13857,8011,171,46.79,,,,,,,,,,,,,,,
1280,50,amnesia rebirth,10,2020,3963640,63754 hours,244510,1122,11206,5334,85,62.17,,,,,,,,,,,,,,,
1281,58,crash bandicoot 4 its about time,10,2020,3466522,63853 hours,103494,588,10867,4665,85,54.29,,,,,,,,,,,,,,,
1282,65,party animals,10,2020,3096207,41516 hours,113621,685,15665,4167,55,74.58,,,,,,,,,,,,,,,
1283,71,star wars squadrons,10,2020,2561464,102145 hours,139205,1656,20733,3447,137,25.08,,,,,,,,,,,,,,,
1284,88,super mario bros 35,10,2020,1660830,28996 hours,29769,299,6903,2235,39,57.28,,,,,,,,,,,,,,,
1288,138,crusader kings 3,10,2020,902347,31995 hours,31883,135,2995,1214,43,28.2,,,,,,,,,,,,,,,
1290,157,super mario sunshine,10,2020,781403,25690 hours,18510,125,4163,1051,34,30.42,,,,,,,,,,,,,,,
1291,167,fifa 20,10,2020,725683,66923 hours,25844,316,12908,976,90,10.84,,,,,,,,,,,,,,,
1292,175,medieval dynasty,10,2020,687227,28996 hours,20248,162,2619,924,39,23.7,,,,,,,,,,,,,,,
1293,176,sign of silence,10,2020,683145,5627 hours,43542,36,2251,919,7,121.4,,,,,,,,,,,,,,,
1296,184,murder house,10,2020,607620,1855 hours,53311,29,655,817,2,327.56,,,,,,,,,,,,,,,
1298,186,the survivalists,10,2020,592542,13441 hours,42620,176,2481,797,18,44.08,,,,,,,,,,,,,,,
1299,191,mlb the show 20,10,2020,569496,18257 hours,17363,88,2988,766,24,31.19,,,,,,,,,,,,,,,
1300,192,remothered broken porcelain,10,2020,568626,4051 hours,53086,79,891,765,5,140.37,,,,,,,,,,,,,,,
1301,194,song of horror,10,2020,561582,5646 hours,21809,49,774,755,7,99.47,,,,,,,,,,,,,,,
1302,196,torchlight 3,10,2020,545420,13305 hours,53172,114,1395,734,17,40.99,,,,,,,,,,,,,,,
1303,198,second extinction,10,2020,532011,8495 hours,51213,112,1773,716,11,62.63,,,,,,,,,,,,,,,
1305,57,the dark pictures anthology little hope,11,2020,3381721,89057 hours,93870,1669,18623,4703,123,37.97,,,,,,,,,,,,,,,
1306,64,godfall,11,2020,2750024,66186 hours,96913,751,8646,3824,92,41.55,,,,,,,,,,,,,,,
1307,69,watch dogs legion,11,2020,2537863,148048 hours,50593,1059,20048,3529,205,17.14,,,,,,,,,,,,,,,
1308,74,glitchcon,11,2020,2311134,1392 hours,242333,140,456,3214,1,1660.3,,,,,,,,,,,,,,,
1309,84,teardown,11,2020,1966486,14577 hours,53899,79,3463,2735,20,134.9,,,,,,,,,,,,,,,
1310,91,bugsnax,11,2020,1779642,25438 hours,55167,231,5013,2475,35,69.96,,,,,,,,,,,,,,,
1311,110,in silence,11,2020,1263730,24761 hours,110530,299,8908,1757,34,51.04,,,,,,,,,,,,,,,
1312,117,sakuna of rice and ruin,11,2020,1199711,28624 hours,24646,170,2221,1668,39,41.91,,,,,,,,,,,,,,,
1313,118,hyrule warriors age of calamity,11,2020,1199625,63146 hours,31895,844,7535,1668,87,19.0,,,,,,,,,,,,,,,
1314,121,astros playroom,11,2020,1166665,18620 hours,85069,264,6303,1622,25,62.66,,,,,,,,,,,,,,,
1315,135,blazing sails,11,2020,995524,6478 hours,33145,41,1286,1384,9,153.68,,,,,,,,,,,,,,,
1316,152,noita,11,2020,858867,20665 hours,19222,59,2681,1194,28,41.56,,,,,,,,,,,,,,,
1317,155,korean baseball league,11,2020,810420,1464 hours,38731,21,2,1127,2,553.57,,,,,,,,,,,,,,,
1318,160,quiplash 2 interlashional,11,2020,764299,712 hours,136117,26,308,1063,0,1073.45,,,,,,,,,,,,,,,
1319,164,firefighting simulator,11,2020,734113,6260 hours,53385,77,1514,1021,8,117.27,,,,,,,,,,,,,,,
1320,170,until dawn,11,2020,700935,6317 hours,91431,118,2430,974,8,110.96,,,,,,,,,,,,,,,
